#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,requestType,requestUUID,resource,sourceHost,timestamp,unit
,,0,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:17:24.563107166Z,10.215559,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,027fb46a-59c1-47c4-8cc2-109b38c6fb07,/temperature,gateway1-edge-iot-simulator,1712189844510389944,ms
,,1,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:02:24.41342374Z,8.761319,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,052d56bf-2e94-4247-b39f-0aa7b0f66f1b,/temperature,gateway1-edge-iot-simulator,1712188944361471695,ms
,,2,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:10:24.493143277Z,9.170642,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,0753426c-c9da-47a3-ac73-5862fbe36318,/temperature,gateway1-edge-iot-simulator,1712189424441913053,ms
,,3,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:58:24.375043027Z,8.367202,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,08e152d6-8ee8-4ec8-8818-55dbccfd120f,/temperature,gateway1-edge-iot-simulator,1712188704321748481,ms
,,4,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:24:24.631371104Z,9.572576,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,08fdfb5c-e090-4324-aab6-43a067968e2c,/temperature,gateway1-edge-iot-simulator,1712190264578081902,ms
,,5,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:25:24.053408442Z,9.099935,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,0a3d12d0-db54-4e65-8164-63a213579d70,/temperature,gateway1-edge-iot-simulator,1712186724002962635,ms
,,6,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:38:24.177249508Z,9.620211,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,0a84c487-c5ef-4754-9cbc-101b05ee2fd5,/temperature,gateway1-edge-iot-simulator,1712187504127622663,ms
,,7,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:28:24.081627209Z,9.125122,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,0b121085-5bc0-4554-b6ca-f23d9076544b,/temperature,gateway1-edge-iot-simulator,1712186904030307044,ms
,,8,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:09:24.484929646Z,10.183804,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,1872584d-1c0b-4ff0-93b4-53700bbc4483,/temperature,gateway1-edge-iot-simulator,1712189364432331282,ms
,,9,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:08:24.473574875Z,9.327687,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,192d7cc0-6526-4c10-828d-96ce356e4af3,/temperature,gateway1-edge-iot-simulator,1712189304421723843,ms
,,10,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:19:24.585168648Z,9.650218,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,19733726-46ed-4614-b7f1-2c5894b8b586,/temperature,gateway1-edge-iot-simulator,1712189964530309307,ms
,,11,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:00:24.394870586Z,9.348071,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,1b0efbcc-c3b9-44b7-8e22-659032f1210c,/temperature,gateway1-edge-iot-simulator,1712188824342073281,ms
,,12,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:01:24.405064174Z,9.804526,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,25e91222-48ab-4152-a094-41ff0172fade,/temperature,gateway1-edge-iot-simulator,1712188884352264790,ms
,,13,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:45:24.829851303Z,9.081509,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,2922b0b6-969d-462a-acc8-1ca717b8c3bf,/temperature,gateway1-edge-iot-simulator,1712191524779639917,ms
,,14,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:53:24.326846783Z,9.637557,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,2d42d280-bc60-47e5-98ea-d85da73f9989,/temperature,gateway1-edge-iot-simulator,1712188404273872346,ms
,,15,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:14:24.533439904Z,8.894596,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,2e5be4f3-af3e-4869-8eff-fbd5699bdd37,/temperature,gateway1-edge-iot-simulator,1712189664480758436,ms
,,16,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:37:24.750515589Z,9.190051,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,2f96cd1b-3549-4cff-8276-f424a0114b99,/temperature,gateway1-edge-iot-simulator,1712191044702170302,ms
,,17,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:50:24.297992418Z,8.875434,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,300073f5-0677-404f-ba0a-ef897692dbce,/temperature,gateway1-edge-iot-simulator,1712188224245142615,ms
,,18,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:48:24.278812212Z,9.268897,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,32d90c56-c329-46c9-aad8-f966eda0ba10,/temperature,gateway1-edge-iot-simulator,1712188104225369488,ms
,,19,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:27:24.666737259Z,9.5317,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,367f1ae4-b4a3-4e62-b72b-5519b93ddbe5,/temperature,gateway1-edge-iot-simulator,1712190444607960463,ms
,,20,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:26:24.652938498Z,9.012154,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,3988008d-7566-4960-94e6-9ddb92b704d2,/temperature,gateway1-edge-iot-simulator,1712190384598033737,ms
,,21,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:24:24.076004242Z,10.866806,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,3a1bce46-350d-4dde-9f36-3e593e94825d,/temperature,gateway1-edge-iot-simulator,1712186663993385874,ms
,,22,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:39:24.189276593Z,9.34565,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,3a22fddc-5a1d-462a-82c4-0929d3cea95d,/temperature,gateway1-edge-iot-simulator,1712187564137401128,ms
,,23,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:29:24.678946688Z,8.844644,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,41b211ca-a3fe-4042-a332-7746cc0f18cd,/temperature,gateway1-edge-iot-simulator,1712190564626632548,ms
,,24,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:59:24.383342816Z,10.000699,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,43bbb43e-6729-4d1d-bd84-2fd737a3c8cf,/temperature,gateway1-edge-iot-simulator,1712188764332203750,ms
,,25,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:40:24.207054059Z,9.829692,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,47e69f0b-cf01-4268-b562-d2091a8e3fc9,/temperature,gateway1-edge-iot-simulator,1712187624147657738,ms
,,26,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:34:24.727296148Z,9.535242,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,4b57a83b-f675-48f9-93ce-e83f5d2eca14,/temperature,gateway1-edge-iot-simulator,1712190864674440803,ms
