#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,eventType,eventUUID,timestamp
,,0,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:18:59.939787443Z,"ApplicationComponent{remoteApplicationComponentUUID=513bc057-18b1-4881-9dc9-fc380e183cde, nodeUUID=98036c1c-1d51-4fcd-81ab-21fb40b14b3b, nodeHost='pulceo-node-eae9342543.westeurope.cloudapp.azure.com', name='cloud1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,5fea5dcf-f656-4420-bf44-032fa6d0f9ca,2024-04-16T12:18:59.895527228
,,1,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:28:52.153917049Z,"ApplicationComponent{remoteApplicationComponentUUID=11a9af8f-0f96-457a-96a4-cc5de8719207, nodeUUID=22d5cc00-3264-4ad5-b85d-26c1bbb4cbf3, nodeHost='h5136.pi.uni-bamberg.de', name='fog2-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,6cebee4f-fb79-4726-a61d-beb3592305a3,2024-04-16T12:28:52.109126111
,,2,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:28:14.28207848Z,"ApplicationComponent{remoteApplicationComponentUUID=f919985b-f7ca-43ae-bc6b-2ef1acd1a77b, nodeUUID=615ba998-3ecb-40f4-8a00-bdebf5894303, nodeHost='h5138.pi.uni-bamberg.de', name='fog1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,6dd4732c-1242-47c1-9e41-67c2cb82bf8b,2024-04-16T12:28:14.237819831
,,3,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:19:45.472073943Z,"ApplicationComponent{remoteApplicationComponentUUID=507dcbcd-7eba-40e9-be6c-85db0052d823, nodeUUID=3f425fb8-c4e5-4eab-9d30-4552e94abdb3, nodeHost='pulceo-node-6659339536.westus.cloudapp.azure.com', name='cloud2-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,956dd639-6051-4a86-8fdf-c251e289d9c4,2024-04-16T12:19:45.425075096
,,4,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:29:33.101055942Z,"ApplicationComponent{remoteApplicationComponentUUID=db6e2e10-e4cc-4c4b-b2af-013dfc331fa9, nodeUUID=e6c27c8a-a337-49e1-8662-38c96bff3351, nodeHost='h5137.pi.uni-bamberg.de', name='fog3-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,9aca3e4f-a89d-4eac-adfc-c40580aa0d8c,2024-04-16T12:29:33.056804846
,,5,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T13:09:28.428850759Z,"ApplicationComponent{remoteApplicationComponentUUID=456f76d2-fdb8-40c4-9dbc-fdd026cbd85c, nodeUUID=c329ad3d-ab6c-41a9-aa8d-5705787a60d6, nodeHost='h5135.pi.uni-bamberg.de', name='gateway1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,f649bffe-26b2-4fed-a1df-704e64cb4ac0,2024-04-16T13:09:28.384352323
,,6,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:55.126878022Z,"Application{remoteApplicationUUID=cfab7620-7fe6-4cfb-9e39-a4d96f5f709b, nodeId='22d5cc00-3264-4ad5-b85d-26c1bbb4cbf3', name='fog2-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,061aeaca-0869-4e2b-b13a-fdcafd799d0a,2024-04-16T12:08:55.083846606
,,7,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:09:05.795040265Z,"Application{remoteApplicationUUID=c6f595bf-9b12-4005-924b-09951f8e5ce4, nodeId='c329ad3d-ab6c-41a9-aa8d-5705787a60d6', name='gateway1-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,09f9c819-271e-40d4-b25c-e2bd9c7dd155,2024-04-16T12:09:05.751838023
,,8,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:52.344000075Z,"Application{remoteApplicationUUID=7f40b178-6974-4fcb-96a1-dbd34eef8d8a, nodeId='e6c27c8a-a337-49e1-8662-38c96bff3351', name='fog3-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,0ee5e35e-a3f7-4530-97b4-e78803f6012c,2024-04-16T12:08:51.572792631
,,9,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T13:09:28.508438808Z,"Application{remoteApplicationUUID=a61e8799-576a-42b9-89ca-17c633c5945d, nodeId='c329ad3d-ab6c-41a9-aa8d-5705787a60d6', name='gateway1-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=456f76d2-fdb8-40c4-9dbc-fdd026cbd85c, nodeUUID=c329ad3d-ab6c-41a9-aa8d-5705787a60d6, nodeHost='h5135.pi.uni-bamberg.de', name='gateway1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,2d5e872c-4849-4449-8c03-c129bf660d04,2024-04-16T13:09:28.388198092
,,10,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:58.28794048Z,"Application{remoteApplicationUUID=84fee082-fa36-437b-95da-0b49036be05b, nodeId='615ba998-3ecb-40f4-8a00-bdebf5894303', name='fog1-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,3bae8494-c5cb-4790-88db-9822298ae3f3,2024-04-16T12:08:58.206531848
