#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T13:17:37.430701156Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T13:17:37.394897921Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,4783fa47-593c-43ba-b427-2337eaf0ea85,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T13:17:28.331365039Z
,,1,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T14:17:37.45018957Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T14:17:37.409324610Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,7dbe525d-da9e-41d0-b038-8e96b96672c9,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T14:17:28.331089440Z
,,2,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T15:17:37.424021194Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T15:17:37.384781466Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,5b11e84b-7118-421f-a972-85813ad2c4de,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T15:17:28.331071626Z
,,3,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T16:17:37.441107428Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T16:17:37.399857485Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,2ebe119d-b953-409e-b830-6366e40ae07b,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T16:17:28.331126776Z
,,4,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T17:17:37.44243486Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T17:17:37.400999457Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,05dd2fc0-ae33-4442-b0d6-133969655179,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T17:17:28.331114034Z
,,5,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T18:17:37.491427563Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T18:17:37.450762537Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,59e737c7-7660-4cea-a881-3fefb1bba8be,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T18:17:28.331105132Z
,,6,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T19:17:37.429214041Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T19:17:37.389551644Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,aeeb5ac1-c8fd-47fc-bc70-ff83680a97b4,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T19:17:28.331086389Z
,,7,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T20:17:37.457009866Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T20:17:37.417233539Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,00bfb0e2-9d92-4c08-809a-3d6988bdf669,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T20:17:28.331088304Z
,,8,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T21:17:37.425939974Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T21:17:37.389076783Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,256c01c4-dd05-4289-ade6-b9901f8d7e2b,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T21:17:28.331077229Z
,,9,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T22:17:37.564454485Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T22:17:37.528345076Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,5fc0c092-1f1b-46ae-b1ce-a81417c49aec,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T22:17:28.331242463Z
,,10,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-16T23:17:37.426584787Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T23:17:37.389900178Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,939bbfee-61e5-4dcf-ba08-2cb9d5d80370,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T23:17:28.331107295Z
,,11,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T00:17:37.436443536Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T00:17:37.400616648Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,d98bee3d-834b-438a-9353-25afd04327c7,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T00:17:28.331105621Z
,,12,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T01:17:37.463341145Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T01:17:37.426459736Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,6736eed7-b91a-4d95-b3f4-2aa696f95ead,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T01:17:28.331098583Z
,,13,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T02:17:37.424474753Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T02:17:37.389272770Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,ddb4041b-b3f3-43a6-ac0d-fc1d3a55f234,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T02:17:28.331266513Z
,,14,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T03:17:37.42573819Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T03:17:37.389009542Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,cfc95f4b-ae07-480a-9b00-5fbcacca2a25,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T03:17:28.331090355Z
,,15,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T04:17:37.457856373Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T04:17:37.419885917Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,ee00f851-0702-4f8a-94fd-72929d49fece,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T04:17:28.331096337Z
,,16,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T05:17:37.434338118Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T05:17:37.399486432Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,49ebd776-f110-4d34-bd9c-7e377fbef5f3,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T05:17:28.331101008Z
,,17,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T06:17:37.759118469Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T06:17:37.721766211Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,2445020a-3ff7-4287-95ff-24c1a70d0261,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T06:17:28.665333999Z
,,18,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T07:17:37.783987665Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T07:17:37.746585731Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,633af571-5093-46a2-9629-408d3048104b,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T07:17:28.665372818Z
,,19,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T08:17:37.758325467Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T08:17:37.724162547Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,4615a1a7-d18a-4fc6-82f3-58ac8e7b268e,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T08:17:28.665349065Z
,,20,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T09:17:37.778733528Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T09:17:37.741810413Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,40b369b2-fd8b-4e32-be50-b3445a775cbf,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T09:17:28.665325005Z
,,21,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T10:17:37.76017525Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T10:17:37.726128965Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,7565f93f-bb22-4f21-bd65-459804297fb8,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T10:17:28.665356978Z
,,22,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T11:17:37.817023926Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T11:17:37.783990229Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,85722168-55ff-40a7-8c9e-d6ca2a7cfb84,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T11:17:28.665319178Z
,,23,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T12:17:37.799704551Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T12:17:37.763583060Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,6ab0538d-570e-4017-9588-193b25e0e8cf,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T12:17:28.665338543Z
,,24,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T13:17:37.761364384Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T13:17:37.725868305Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,7275c539-5857-4b1f-9675-e9138db1d1d8,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T13:17:28.665322566Z
,,25,2024-03-18T18:20:37.528424875Z,2024-04-17T18:20:37.528424875Z,2024-04-17T14:17:37.775140609Z,0,packetLoss,ICMP_RTT,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-17T14:17:37.739726377Z,97c9639d-e5d2-420a-9f81-52f6c83f975e,ICMP_RTT,389c78a5-23f7-45f6-b8cf-6355cc1f1a1f,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-17T14:17:28.665325509Z
