#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T13:23:48.591963423Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T13:23:48.555495435Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,d0a5d938-97b1-4b05-aa81-8933336f0da8,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T13:23:43.358964469Z
,,1,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T13:23:48.591963423Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T13:23:48.555495435Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,d0a5d938-97b1-4b05-aa81-8933336f0da8,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T13:23:43.358964469Z
,,2,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T14:23:48.587275826Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T14:23:48.548072139Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,6a34f0c7-b0d3-46c2-8db2-cb6ef2b704c7,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T14:23:43.358939462Z
,,3,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T14:23:48.587275826Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T14:23:48.548072139Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,6a34f0c7-b0d3-46c2-8db2-cb6ef2b704c7,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T14:23:43.358939462Z
,,4,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T15:23:48.606899758Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T15:23:48.569082795Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,bbc69c91-fd5c-4492-91a9-06875e4cae5e,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T15:23:43.358868350Z
,,5,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T15:23:48.606899758Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T15:23:48.569082795Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,bbc69c91-fd5c-4492-91a9-06875e4cae5e,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T15:23:43.358868350Z
,,6,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T16:23:48.587314435Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T16:23:48.543181777Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,ec1108c7-e463-4b99-b0ac-16a7dae3b160,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T16:23:43.358898475Z
,,7,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T16:23:48.587314435Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T16:23:48.543181777Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,ec1108c7-e463-4b99-b0ac-16a7dae3b160,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T16:23:43.358898475Z
,,8,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T17:23:48.577663171Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T17:23:48.537360044Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,9f095d55-29bd-4c95-92ea-82dcf0384a3e,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T17:23:43.358965870Z
,,9,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T17:23:48.577663171Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T17:23:48.537360044Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,9f095d55-29bd-4c95-92ea-82dcf0384a3e,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T17:23:43.358965870Z
