#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T13:31:47.139166184Z,64.5,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T13:31:47.102119575Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4774a3ca-dae3-46f9-8dd0-421798cc25a2,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T13:31:41.926672904Z
,,1,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T13:31:47.139166184Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T13:31:47.102119575Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4774a3ca-dae3-46f9-8dd0-421798cc25a2,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T13:31:41.926672904Z
,,2,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T14:31:47.14192755Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T14:31:47.100552976Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,0e2f7cd5-ae53-4d2b-9c12-1bb8e313597c,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T14:31:41.926635322Z
,,3,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T14:31:47.14192755Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T14:31:47.100552976Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,0e2f7cd5-ae53-4d2b-9c12-1bb8e313597c,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T14:31:41.926635322Z
,,4,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T15:31:47.178425118Z,64.5,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T15:31:47.136267690Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,ba252438-9435-4426-bb16-77563352c967,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T15:31:41.926897273Z
,,5,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T15:31:47.178425118Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T15:31:47.136267690Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,ba252438-9435-4426-bb16-77563352c967,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T15:31:41.926897273Z
,,6,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T16:31:47.125238934Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T16:31:47.084479795Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,29a385c2-f27d-45bc-aed8-bf7c26fa1956,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T16:31:41.926786211Z
,,7,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T16:31:47.125238934Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T16:31:47.084479795Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,29a385c2-f27d-45bc-aed8-bf7c26fa1956,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T16:31:41.926786211Z
,,8,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T17:31:47.14495242Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T17:31:47.101739528Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4af0edaf-c359-4747-9ad7-1e902ed4ea18,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T17:31:41.926836091Z
,,9,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T17:31:47.14495242Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T17:31:47.101739528Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4af0edaf-c359-4747-9ad7-1e902ed4ea18,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T17:31:41.926836091Z
,,10,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T18:31:47.147850531Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T18:31:47.107923980Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,b541fe96-533b-4795-b24f-969209fa1280,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T18:31:41.926772730Z
,,11,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T18:31:47.147850531Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T18:31:47.107923980Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,b541fe96-533b-4795-b24f-969209fa1280,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T18:31:41.926772730Z
,,12,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T19:31:47.13513454Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T19:31:47.094299746Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4ec46c01-f4eb-4add-926a-a7c8abd43e79,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T19:31:41.926739870Z
,,13,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T19:31:47.13513454Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T19:31:47.094299746Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4ec46c01-f4eb-4add-926a-a7c8abd43e79,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T19:31:41.926739870Z
