#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T20:28:42.94584585Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T20:28:42.899543466Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,be736ce0-ce0e-4690-8548-20a0811238b0,h5138.pi.uni-bamberg.de,2024-04-02T20:28:33.804986597Z
,,1,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T21:28:43.658277141Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T21:28:43.576915146Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,156efd9b-f6bb-452d-9a3a-dc2253984faf,h5138.pi.uni-bamberg.de,2024-04-02T21:28:33.805253448Z
,,2,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T22:28:43.147189942Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T22:28:43.085256023Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,847ef499-d23b-4d2e-a40f-ec1224a0c2d2,h5138.pi.uni-bamberg.de,2024-04-02T22:28:33.805172398Z
,,3,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-02T23:28:43.021401599Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T23:28:42.967773750Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,a17eff92-bc01-4e37-9696-a6023b443d26,h5138.pi.uni-bamberg.de,2024-04-02T23:28:33.805164396Z
,,4,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T00:28:43.048944641Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T00:28:42.982289468Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,6db970ea-69db-42fa-b79c-1a759b3aa582,h5138.pi.uni-bamberg.de,2024-04-03T00:28:33.805121150Z
,,5,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T01:28:43.054903354Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T01:28:42.963425199Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,98684a28-a29c-4825-a8a9-82cdf592366f,h5138.pi.uni-bamberg.de,2024-04-03T01:28:33.805109247Z
,,6,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T02:28:43.044750397Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T02:28:42.986156549Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,85e4f7b3-36cc-4766-9af9-323e330aa1f4,h5138.pi.uni-bamberg.de,2024-04-03T02:28:33.805206595Z
,,7,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T03:28:43.694564917Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T03:28:43.648296632Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,b959f006-87b6-47cb-89b1-6749053552f7,h5138.pi.uni-bamberg.de,2024-04-03T03:28:33.805046112Z
,,8,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T04:28:42.942534909Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T04:28:42.880939596Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,57e6dba3-d892-4eac-aa92-1ca21bdf18fd,h5138.pi.uni-bamberg.de,2024-04-03T04:28:33.805153618Z
,,9,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T05:28:43.019565233Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T05:28:42.951265943Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,9cae6b64-a895-4fd1-9f25-d606dec493b8,h5138.pi.uni-bamberg.de,2024-04-03T05:28:33.805185998Z
,,10,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T06:28:42.998289998Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T06:28:42.952363473Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,f9832cca-a0ed-4c53-bd43-f2ac1c4630e7,h5138.pi.uni-bamberg.de,2024-04-03T06:28:33.805186952Z
,,11,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T07:28:42.947823918Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T07:28:42.902815782Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,b60fe76e-61e6-4ded-8722-30e420eb724c,h5138.pi.uni-bamberg.de,2024-04-03T07:28:33.805090698Z
,,12,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T08:28:42.988382116Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T08:28:42.943054122Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,ce6a7a40-936b-4589-93be-3ee618eb0803,h5138.pi.uni-bamberg.de,2024-04-03T08:28:33.805173708Z
,,13,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T09:28:43.124644848Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T09:28:43.018517066Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,c01ddc2c-db86-44f5-b9f1-3bf3dab733c8,h5138.pi.uni-bamberg.de,2024-04-03T09:28:33.805212203Z
,,14,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T10:28:42.961743673Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T10:28:42.917168687Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,7c1b1f9a-062d-4bc4-a2ab-bfcce6c13eb3,h5138.pi.uni-bamberg.de,2024-04-03T10:28:33.805142803Z
,,15,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T11:28:42.947342253Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T11:28:42.896459999Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,76755d11-ed7a-407c-9ba2-fa4bd4894ee2,h5138.pi.uni-bamberg.de,2024-04-03T11:28:33.805081036Z
,,16,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T12:28:42.989145222Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T12:28:42.895023133Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,4d1ab076-751b-4c83-9da1-89a4f60d2790,h5138.pi.uni-bamberg.de,2024-04-03T12:28:33.805091320Z
,,17,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T13:28:42.972601726Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T13:28:42.891526486Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,a359357b-976b-4b0f-89cf-8aa5a7d4ce5f,h5138.pi.uni-bamberg.de,2024-04-03T13:28:33.805129756Z
,,18,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T14:28:43.129350702Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T14:28:42.993271648Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,e76f4ae5-818d-4c12-87a3-53c6020ed85c,h5138.pi.uni-bamberg.de,2024-04-03T14:28:33.805109341Z
,,19,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T15:28:42.949809244Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T15:28:42.907048003Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,21610f73-48e8-48e8-870e-8805e70f9f54,h5138.pi.uni-bamberg.de,2024-04-03T15:28:33.805150223Z
,,20,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T16:28:42.978629436Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T16:28:42.876733847Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,c907d313-5c75-45f3-b1a2-c7456d0233ec,h5138.pi.uni-bamberg.de,2024-04-03T16:28:33.805185360Z
,,21,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T17:28:42.998175266Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T17:28:42.939327080Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,e9543ed3-3272-4549-bc94-f359ae0468d9,h5138.pi.uni-bamberg.de,2024-04-03T17:28:33.805089258Z
,,22,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T18:28:43.30671517Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T18:28:43.260262551Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,7b23d7ef-8378-4632-a688-cfc1e73a4aa4,h5138.pi.uni-bamberg.de,2024-04-03T18:28:33.805063759Z
,,23,2024-03-04T22:35:49.445528407Z,2024-04-03T22:35:49.445528407Z,2024-04-03T19:28:43.013154269Z,0,packetLoss,ICMP_RTT,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T19:28:42.900479023Z,a8c2d881-69d3-4c21-b1ef-e3f63d376e58,ICMP_RTT,cfef1ff8-9eb3-4015-b830-6f415844a37c,h5138.pi.uni-bamberg.de,2024-04-03T19:28:33.805171835Z
