#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T20:29:13.225362604Z,64.9,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T20:29:13.163424926Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,780a7997-f68c-4265-8e71-162f36c5cd19,h5138.pi.uni-bamberg.de,2024-04-02T20:29:08.036230258Z
,,1,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T20:29:13.225362604Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T20:29:13.163424926Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,780a7997-f68c-4265-8e71-162f36c5cd19,h5138.pi.uni-bamberg.de,2024-04-02T20:29:08.036230258Z
,,2,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T21:29:13.269995186Z,64.8,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T21:29:13.204068593Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,579ed605-e02c-42ca-aa63-3e2893d6d756,h5138.pi.uni-bamberg.de,2024-04-02T21:29:08.036224495Z
,,3,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T21:29:13.269995186Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T21:29:13.204068593Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,579ed605-e02c-42ca-aa63-3e2893d6d756,h5138.pi.uni-bamberg.de,2024-04-02T21:29:08.036224495Z
,,4,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T22:29:13.30534973Z,64.9,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T22:29:13.262013197Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,c3720688-c035-4797-8a89-9f07e9ad3340,h5138.pi.uni-bamberg.de,2024-04-02T22:29:08.036026303Z
,,5,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T22:29:13.30534973Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T22:29:13.262013197Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,c3720688-c035-4797-8a89-9f07e9ad3340,h5138.pi.uni-bamberg.de,2024-04-02T22:29:08.036026303Z
,,6,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T23:29:13.26253867Z,64.9,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T23:29:13.216209685Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,ffdd065c-c3a7-410e-a50a-64498177cd2c,h5138.pi.uni-bamberg.de,2024-04-02T23:29:08.035984473Z
,,7,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-02T23:29:13.26253867Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T23:29:13.216209685Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,ffdd065c-c3a7-410e-a50a-64498177cd2c,h5138.pi.uni-bamberg.de,2024-04-02T23:29:08.035984473Z
,,8,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T00:29:13.309627151Z,64.8,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T00:29:13.264602052Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,a3a1b902-e09b-4fae-aa75-dc6707f08008,h5138.pi.uni-bamberg.de,2024-04-03T00:29:08.035994113Z
,,9,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T00:29:13.309627151Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T00:29:13.264602052Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,a3a1b902-e09b-4fae-aa75-dc6707f08008,h5138.pi.uni-bamberg.de,2024-04-03T00:29:08.035994113Z
