#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T20:35:47.028071487Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T20:35:46.979363018Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,110788c6-55c3-4eef-b2a1-157d3382bc85,h5138.pi.uni-bamberg.de,2024-04-02T20:35:41.779518312Z
,,1,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T20:35:47.028071487Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T20:35:46.979363018Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,110788c6-55c3-4eef-b2a1-157d3382bc85,h5138.pi.uni-bamberg.de,2024-04-02T20:35:41.779518312Z
,,2,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T21:35:47.065000552Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T21:35:46.995938213Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,05afc9d3-02bd-486b-86c0-489230cf415d,h5138.pi.uni-bamberg.de,2024-04-02T21:35:41.779520040Z
,,3,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T21:35:47.065000552Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T21:35:46.995938213Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,05afc9d3-02bd-486b-86c0-489230cf415d,h5138.pi.uni-bamberg.de,2024-04-02T21:35:41.779520040Z
,,4,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T22:35:46.998589182Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T22:35:46.957280191Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,194c27fc-77d6-4e01-928a-d8cd990e882a,h5138.pi.uni-bamberg.de,2024-04-02T22:35:41.779398438Z
,,5,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T22:35:46.998589182Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T22:35:46.957280191Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,194c27fc-77d6-4e01-928a-d8cd990e882a,h5138.pi.uni-bamberg.de,2024-04-02T22:35:41.779398438Z
,,6,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T23:35:47.018379561Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T23:35:46.971100086Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,c5367634-069b-4989-b112-bdfc779e1a72,h5138.pi.uni-bamberg.de,2024-04-02T23:35:41.779434779Z
,,7,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-02T23:35:47.018379561Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-02T23:35:46.971100086Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,c5367634-069b-4989-b112-bdfc779e1a72,h5138.pi.uni-bamberg.de,2024-04-02T23:35:41.779434779Z
,,8,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T00:35:47.056760443Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T00:35:47.011631375Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,d088e8d6-4a27-48f6-ad74-c0287d297c73,h5138.pi.uni-bamberg.de,2024-04-03T00:35:41.779507311Z
,,9,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T00:35:47.056760443Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T00:35:47.011631375Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,d088e8d6-4a27-48f6-ad74-c0287d297c73,h5138.pi.uni-bamberg.de,2024-04-03T00:35:41.779507311Z
