#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,eventType,eventUUID,timestamp
,,0,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:10:57.335822449Z,"ApplicationComponent{remoteApplicationComponentUUID=8e224d8f-d7cb-4734-b407-a3ee80c1d757, nodeUUID=934bc9f9-33c6-4e40-a186-017ea28f80b8, nodeHost='pulceo-node-de55018079.germanywestcentral.cloudapp.azure.com', name='fog2-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,818cb4df-f2d8-43c3-a963-2c3336a87be7,2024-04-03T23:10:57.269999779
,,1,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:10:57.317672774Z,"ApplicationComponent{remoteApplicationComponentUUID=a3206f83-b611-4f13-8ea1-83f25389884f, nodeUUID=56718563-3580-498e-8441-8aa7d92f7654, nodeHost='h5138.pi.uni-bamberg.de', name='fog3-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,b657ff1c-c96b-4688-af72-74d84f5277f6,2024-04-03T23:10:51.496497994
,,2,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:11:00.987738308Z,"ApplicationComponent{remoteApplicationComponentUUID=c40a5ca1-8111-4b6a-8a95-285fe86aa644, nodeUUID=e1076174-380a-47e4-a468-b9fd1b0ea309, nodeHost='pulceo-node-16e5021250.francecentral.cloudapp.azure.com', name='fog1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,ba9dc643-5673-4c48-be15-89cd4b732ddd,2024-04-03T23:11:00.943505019
,,3,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:10:51.547104773Z,"ApplicationComponent{remoteApplicationComponentUUID=0e264cd2-cb9f-49ed-bee6-d84120d691ae, nodeUUID=6dd39b86-1b6e-4122-8739-cd4572f197dd, nodeHost='h5136.pi.uni-bamberg.de', name='gateway1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,dcb3f54a-54a8-4ded-b0b5-4313c714d620,2024-04-03T23:10:48.192810383
,,4,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:11:04.498923974Z,"ApplicationComponent{remoteApplicationComponentUUID=c2bf4783-972d-4d65-9049-7b55d82a7fcc, nodeUUID=4c37dcca-998d-49a4-861b-49b0ef91516d, nodeHost='pulceo-node-cc15023803.eastus.cloudapp.azure.com', name='cloud1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}",payload,EVENT,APPLICATION_COMPONENT_CREATED,dcd153e5-b316-4888-bf6e-4871a42356a6,2024-04-03T23:11:04.456170277
,,5,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T22:57:29.792223376Z,"Application{remoteApplicationUUID=d4d1fbec-49c5-431b-bd3b-bf6f37841518, nodeId='6dd39b86-1b6e-4122-8739-cd4572f197dd', name='gateway1-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,038ad38e-d68a-4237-89fc-bb5b4690f787,2024-04-03T22:57:29.706894136
,,6,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T22:57:29.753314084Z,"Application{remoteApplicationUUID=f8bd8a64-4a47-4860-bf2a-36d8e583a4b5, nodeId='6dd39b86-1b6e-4122-8739-cd4572f197dd', name='gateway1-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,07a76f06-a2e9-434f-9ae5-54330e4c8d33,2024-04-03T22:57:29.706907026
,,7,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T22:56:52.894548037Z,"Application{remoteApplicationUUID=9db82602-35bf-470b-aee4-5b3bd0463bae, nodeId='56718563-3580-498e-8441-8aa7d92f7654', name='fog3-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,1f103114-296c-4df5-97b5-52f40a1fe5c9,2024-04-03T22:56:52.224558397
,,8,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T22:59:56.093744097Z,"Application{remoteApplicationUUID=f63d7635-d2ab-430c-8d4e-4bec65f99ba4, nodeId='934bc9f9-33c6-4e40-a186-017ea28f80b8', name='fog2-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,231cce2b-b3cc-402b-8f52-61df15763092,2024-04-03T22:59:56.046780798
,,9,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:00:11.155125865Z,"Application{remoteApplicationUUID=e178fe9d-b2a6-4d28-a836-554dea5ef199, nodeId='e1076174-380a-47e4-a468-b9fd1b0ea309', name='fog1-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,48302d07-30c0-462a-be4c-05c4a81e5f63,2024-04-03T23:00:11.074984984
