#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-03T23:02:07.8956265Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-03T23:02:07.827084059Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,6e35250a-8116-4be7-94df-d8fdb353b2a9,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-03T23:01:58.715623107Z
,,1,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T00:02:07.888009648Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T00:02:07.828767453Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,80f53940-1fe3-401c-a6c2-425add4cb45a,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T00:01:58.715451067Z
,,2,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T01:02:07.886553563Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T01:02:07.826433050Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,1939501c-5b1c-44f7-b8fc-6de474ce07cc,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T01:01:58.715487732Z
,,3,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T02:02:07.899895789Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T02:02:07.839944367Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,4324f8e0-5be8-4efa-83b7-8a535cf09b69,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T02:01:58.715424149Z
,,4,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T03:02:07.87253112Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T03:02:07.812260795Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,e39704df-e8e1-4592-9547-2ad887bc1620,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T03:01:58.715353054Z
,,5,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T04:02:07.884423054Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T04:02:07.826792093Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,e6565e52-5e4c-49a7-9ee8-d22c73dcb682,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T04:01:58.715377420Z
,,6,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T05:02:07.889298785Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T05:02:07.832500921Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,63c317a1-9545-4acb-81a8-afe2b881a6a9,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T05:01:58.715336311Z
,,7,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T06:02:07.909927452Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T06:02:07.833059243Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,c238402d-6c8f-4b4e-8795-7f7e6e422d9a,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T06:01:58.715374900Z
,,8,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T07:02:07.869945859Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T07:02:07.814014546Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,9753504e-182d-48a6-a577-6a58b5071f93,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T07:01:58.715377591Z
,,9,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T08:02:07.889317011Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T08:02:07.828746880Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,5a50581d-96a4-486b-9e97-b4fddf2ccd31,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T08:01:58.715456218Z
