#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-03T23:04:09.548470984Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-03T23:04:09.481268243Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,3dc86347-16ce-4f87-8abb-365c7dd4488b,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-03T23:04:03.896908200Z
,,1,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-03T23:04:09.548470984Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-03T23:04:09.481268243Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,3dc86347-16ce-4f87-8abb-365c7dd4488b,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-03T23:04:03.896908200Z
,,2,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T00:04:09.613677372Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T00:04:09.503466498Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,778d7a96-709c-49eb-b9e4-5662bd5cb90f,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T00:04:03.896612764Z
,,3,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T00:04:09.613677372Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T00:04:09.503466498Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,778d7a96-709c-49eb-b9e4-5662bd5cb90f,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T00:04:03.896612764Z
,,4,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T01:04:09.6171515Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T01:04:09.501512781Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,bf9a5367-c047-452e-8c35-6832f6d96f2c,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T01:04:03.896555519Z
,,5,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T01:04:09.6171515Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T01:04:09.501512781Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,bf9a5367-c047-452e-8c35-6832f6d96f2c,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T01:04:03.896555519Z
,,6,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T02:04:09.605628141Z,64,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T02:04:09.484361392Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,7a876ce3-27a4-4037-9f88-bbe756ecc1b4,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T02:04:03.896613596Z
,,7,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T02:04:09.605628141Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T02:04:09.484361392Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,7a876ce3-27a4-4037-9f88-bbe756ecc1b4,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T02:04:03.896613596Z
,,8,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T03:04:09.548905946Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T03:04:09.489569463Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,ff531bd4-73f6-49c1-aa74-3d95df144c2a,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T03:04:03.896528943Z
,,9,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T03:04:09.548905946Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T03:04:09.489569463Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,ff531bd4-73f6-49c1-aa74-3d95df144c2a,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T03:04:03.896528943Z
