#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,0,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-03T23:10:57.754965913Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-03T23:10:57.693320443Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,804d1186-ed1f-41ac-a228-2e7fcbaca5c4,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-03T23:10:52.184618578Z
,,1,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-03T23:10:57.754965913Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-03T23:10:57.693320443Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,804d1186-ed1f-41ac-a228-2e7fcbaca5c4,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-03T23:10:52.184618578Z
,,2,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T00:10:57.755355649Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T00:10:57.698843537Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,6e47f83e-e45d-413b-9b29-addcb80499a6,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T00:10:52.184503351Z
,,3,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T00:10:57.755355649Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T00:10:57.698843537Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,6e47f83e-e45d-413b-9b29-addcb80499a6,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T00:10:52.184503351Z
,,4,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T01:10:57.751726021Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T01:10:57.690469796Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,4db61eac-3b1f-4a67-9a57-929b73ace39c,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T01:10:52.184656745Z
,,5,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T01:10:57.751726021Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T01:10:57.690469796Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,4db61eac-3b1f-4a67-9a57-929b73ace39c,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T01:10:52.184656745Z
,,6,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T02:10:57.752362706Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T02:10:57.689636639Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,f25d4310-70de-479d-b390-ff058af1fd57,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T02:10:52.184517299Z
,,7,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T02:10:57.752362706Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T02:10:57.689636639Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,f25d4310-70de-479d-b390-ff058af1fd57,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T02:10:52.184517299Z
,,8,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T03:10:57.748465263Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T03:10:57.689120146Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,6186591e-475a-4381-8fe1-c1995166a2f0,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T03:10:52.184448619Z
,,9,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T03:10:57.748465263Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T03:10:57.689120146Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,6186591e-475a-4381-8fe1-c1995166a2f0,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T03:10:52.184448619Z
