ID;Author;Year;CC_BW;CF_BW;CE_BW;CU_BW;FF_BW;FE_BW;FU_BW;EE_BW;EU_BW;UU_BW;BW_MEASURING
1;Yigitoglu et al.;2017;n;n;n;n;n;n;n;n;n;n;n
2;Brogi and Forti;2017;n;y;n;n;y;n;n;n;n;n;s
3;Brogi et al.;2017;y;y;n;n;y;n;n;n;n;n;s
4;Skarlat et al.;2017;n;n;n;n;n;n;n;n;n;n;n
5;Souza et al.;2016;n;n;n;n;n;n;n;n;n;n;n
6;Xia et al.;2018;n;n;y;n;n;n;n;y;y;n;s
7;Velasquez et al.;2017;n;n;n;n;n;n;n;n;n;n;n
8;Amarasinghe et al.;2018;n;n;n;n;n;n;n;n;n;n;n
9;Benamer et al.;2018;n;n;n;n;n;n;n;n;n;n;n
10;Lera et al.;2019;y;y;n;n;y;n;n;n;n;n;s
11;Naas et al.;2018;n;n;n;n;n;n;n;n;n;n;n
12;Naas et al.;2017;n;n;n;n;n;n;n;n;n;n;n
13;Ouyang et al.;2017;n;n;n;n;n;n;n;n;y;n;s
14;De Maio and Brandic;2018;y;y;n;y;y;n;y;n;n;n;s
15;Gargees et al.;2016;y;y;n;n;y;n;n;n;n;n;s
16;Hong et al.;2017;n;n;n;n;n;n;n;n;n;n;n
17;Venticinque and Amato;2019;n;n;n;n;n;n;n;n;n;n;n
18;Faticanti et al.;2019;y;y;n;n;y;n;n;n;n;n;s
19;Guerrero et al.;2019;n;n;n;n;n;n;n;n;n;n;n
20;Faticanti et al.;2020;y;y;n;n;y;n;n;n;n;n;s
21;Faticanti et al. ;2020a;y;y;n;n;y;n;n;n;n;n;s
22;Armani et al.;2021;y;n;y;n;n;n;n;y;n;n;s
23;Alencar et al.;2022;y;y;n;n;y;n;y;n;n;n;s
24;Fu et al.;2021;n;n;n;n;n;n;n;n;n;n;n
25;Lv et al.;2022;n;n;n;n;n;n;n;n;n;n;n
26;Kaur et al.;2022;n;n;n;n;n;n;n;n;n;n;n
27;Mehran et al.;2022;n;y;n;n;n;y;n;n;y;n;s
