ID;Author;Year;CC_E2E;CF_E2E;CE_E2E;CU_E2E;FF_E2E;FE_E2E;FU_E2E;EE_E2E;EU_E2E;UU_E2E;E2E_MEASURING
1;Yigitoglu et al.;2017;n;n;n;n;n;n;n;n;n;n;n
2;Brogi and Forti;2017;n;n;n;n;n;n;n;n;n;n;n
3;Brogi et al.;2017;n;n;n;n;n;n;n;n;n;n;n
4;Skarlat et al.;2017;n;y;n;n;y;n;n;n;n;n;s
5;Souza et al.;2016;n;n;n;n;n;n;n;n;n;n;n
6;Xia et al.;2018;n;n;n;n;n;n;n;n;n;n;n
7;Velasquez et al.;2017;n;n;n;n;n;n;n;n;n;n;n
8;Amarasinghe et al.;2018;y;n;y;n;n;n;n;y;n;n;s
9;Benamer et al.;2018;y;y;n;n;y;n;y;n;n;n;s
10;Lera et al.;2019;y;y;n;n;y;n;n;n;n;n;s
11;Naas et al.;2018;n;n;n;n;n;n;n;n;n;n;n
12;Naas et al.;2017;n;n;n;n;n;n;n;n;n;n;n
13;Ouyang et al.;2017;n;n;n;n;n;n;n;n;y;n;s
14;De Maio and Brandic;2018;n;n;n;n;n;n;n;n;n;n;n
15;Gargees et al.;2016;y;y;n;n;y;n;n;n;n;n;s
16;Hong et al.;2017;n;n;n;n;n;n;n;n;n;n;n
17;Venticinque and Amato;2019;n;y;n;n;y;n;n;n;n;n;s
18;Faticanti et al.;2019;y;y;n;n;y;n;n;n;n;n;s
19;Guerrero et al.;2019;n;n;n;n;y;n;y;n;n;n;s
20;Faticanti et al.;2020;n;y;n;n;y;n;n;n;n;n;s
21;Faticanti et al. ;2020a;n;y;n;n;y;n;n;n;n;n;s
22;Armani et al.;2021;y;n;y;n;n;n;n;y;n;n;s
23;Alencar et al.;2022;y;y;n;n;y;n;y;n;n;n;s
24;Fu et al.;2021;n;n;n;n;n;n;n;n;n;n;n
25;Lv et al.;2022;n;n;n;n;n;n;n;n;n;n;n
26;Kaur et al.;2022;n;y;n;n;y;y;n;n;n;n;s
27;Mehran et al.;2022;n;n;n;n;n;n;n;n;n;n;n
