ID;Author;Year;CC_RTD;CF_RTD;CE_RTD;CU_RTD;FF_RTD;FE_RTD;FU_RTD;EE_RTD;EU_RTD;UU_RTD;RTD_MEASURING
1;Yigitoglu et al.;2017;n;n;n;n;n;n;n;n;n;n;n
2;Brogi and Forti;2017;n;y;n;n;y;n;n;n;n;n;s
3;Brogi et al.;2017;y;y;n;n;y;n;n;n;n;n;s
4;Skarlat et al.;2017;n;n;n;n;n;n;n;n;n;n;n
5;Souza et al.;2016;n;n;n;n;n;n;n;n;n;n;n
6;Xia et al.;2018;n;n;y;n;n;n;n;y;y;n;s
7;Velasquez et al.;2017;n;n;n;n;n;n;n;n;n;n;n
8;Amarasinghe et al.;2018;y;n;y;n;n;n;n;y;n;n;n
9;Benamer et al.;2018;n;n;n;n;n;n;n;n;n;n;n
10;Lera et al.;2019;n;n;n;n;n;n;n;n;n;n;n
11;Naas et al.;2018;y;y;n;n;y;n;n;n;n;n;s
12;Naas et al.;2017;y;y;n;n;y;n;n;n;n;n;s
13;Ouyang et al.;2017;n;n;n;n;n;n;n;n;n;n;n
14;De Maio and Brandic;2018;y;y;n;y;y;n;y;n;n;n;s
15;Gargees et al.;2016;n;n;n;n;n;n;n;n;n;n;n
16;Hong et al.;2017;n;n;n;n;n;n;n;n;n;n;n
17;Venticinque and Amato;2019;n;n;n;n;n;n;n;n;n;n;n
18;Faticanti et al.;2019;n;n;n;n;n;n;n;n;n;n;n
19;Guerrero et al.;2019;n;n;n;n;n;n;n;n;n;n;n
20;Faticanti et al.;2020;y;y;n;n;y;n;n;n;n;n;s
21;Faticanti et al. ;2020a;y;y;n;n;y;n;n;n;n;n;s
22;Armani et al.;2021;n;n;n;n;n;n;n;n;n;n;n
23;Alencar et al.;2022;n;n;n;n;n;n;n;n;n;n;n
24;Fu et al.;2021;n;n;n;n;n;n;n;n;n;n;n
25;Lv et al.;2022;n;n;n;n;n;n;n;n;n;n;n
26;Kaur et al.;2022;n;n;n;n;n;n;n;n;n;n;n
27;Mehran et al.;2022;n;y;n;n;n;y;n;n;y;n;s
