ID;Author;Year;Cloud;Fog;Edge;Gateway;Layer;Role;Location;Group;CPU_MIPS;CPU_Cores;CPU_Threads;CPU_GFlops;CPU_Frequency;CPU_Shares;CPU_Slots;Memory_Capacity;Memory_Slots;Disk_Capacity;Disk_Slots;Network_Capacity
1;Yigitoglu et al.;2017;y;y;y;n;y;n;n;y;n;n;n;n;n;n;n;y;n;n;n;n
2;Brogi and Forti;2017;y;y;n;n;n;n;y;n;n;n;n;n;n;n;n;y;n;n;n;n
3;Brogi et al.;2017;y;y;n;n;n;n;n;n;n;y;n;n;n;n;n;y;n;y;n;n
4;Skarlat et al.;2017;y;y;n;n;n;y;n;y;y;n;n;n;n;n;n;y;n;y;n;n
5;Souza et al.;2016;y;y;n;n;y;n;n;y;n;n;n;n;n;n;y;n;y;n;y;n
6;Xia et al.;2018;y;n;y;y;y;n;n;y;n;n;n;y;n;n;n;y;n;y;n;n
7;Velasquez et al.;2017;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n
8;Amarasinghe et al.;2018;y;n;y;n;y;n;n;y;n;y;y;n;y;n;n;y;n;n;n;n
9;Benamer et al.;2018;y;y;n;y;n;n;n;y;y;n;n;n;n;n;n;y;n;n;n;n
10;Lera et al.;2019;y;y;n;y;n;n;n;y;n;n;n;n;n;n;y;n;y;n;y;n
11;Naas et al.;2018;y;y;n;n;y;y;n;y;n;n;n;n;n;n;n;n;n;y;n;n
12;Naas et al.;2017;y;y;n;n;y;y;n;y;n;n;n;n;n;n;n;n;n;y;n;n
13;Ouyang et al.;2017;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n
14;De Maio and Brandic;2018;y;n;y;n;y;n;y;y;y;y;n;n;n;n;n;y;n;y;n;n
15;Gargees et al.;2016;y;y;n;n;n;n;n;y;n;y;n;n;y;n;n;y;n;y;n;n
16;Hong et al.;2017;n;y;n;n;n;n;y;y;n;n;n;n;n;y;n;y;n;y;n;n
17;Venticinque and Amato;2019;y;y;n;n;n;y;n;y;n;n;n;n;n;n;n;n;n;n;n;y
18;Faticanti et al.;2019;y;y;n;n;n;n;n;y;y;n;n;n;n;n;n;y;n;y;n;n
19;Guerrero et al.;2019;y;y;n;y;n;y;n;n;n;n;n;n;n;n;y;n;y;n;y;y
20;Faticanti et al.;2020;y;y;n;n;y;y;n;y;y;n;n;n;n;n;n;y;n;y;n;n
21;Faticanti et al. ;2020a;y;y;n;n;y;y;n;y;y;n;n;n;n;n;n;y;n;y;n;n
22;Armani et al.;2021;y;n;y;n;y;n;n;y;y;n;n;n;n;n;n;y;n;y;n;n
23;Alencar et al.;2022;y;y;n;n;n;n;n;n;n;y;n;n;n;n;n;y;n;y;n;y
24;Fu et al.;2021;y;n;y;n;y;n;n;n;n;y;n;n;n;n;n;y;n;n;n;y
25;Lv et al.;2022;n;n;y;n;n;n;n;n;n;y;n;n;n;n;n;y;n;y;n;n
26;Kaur et al.;2022;y;y;y;y;n;n;n;y;n;n;n;n;n;n;y;n;n;n;n;n
27;Mehran et al.;2022;y;y;y;n;n;y;n;y;y;n;n;n;n;n;n;y;n;y;n;n
