Author;Year;C;F;E;G;CPU;Mem;Disk;Net;Tx;Rx;Energy;Costs
Yigitoglu et al.;2017;y;y;*;x;~;GB;~;x;x;x;x;x
Brogi and Forti;2017;y;y;x;x;x;GB;x;x;x;x;x;x
Brogi et al.;2017;y;y;x;x;#;GB;GB;x;x;x;x;x
Skarlat et al.;2017;y;y;x;x;MIPS;MB;MB;x;x;x;x;x
Souza et al.;2016;y;x;x;x;Slots;Slots;Slot;x;x;x;x;x
Xia et al.;2018;y;x;*;y;Gflops;GB;GB;x;x;x;x;x
Velasquez et al.;2017;y;y;x;x;x;x;x;x;x;x;x;x
Amarasinghe et al.;2018;y;x;*;x;F,#,Th/#;MB/GB;x;x;x;x;y;x
Benamer et al.;2018;y;y;x;y;MIPS;GB;~;x;y;y;x;x
Lera et al.;2019;y;y;x;y;Slots;Slots;Slots;x;x;x;x;x
Naas et al.;2018;y;*;x;x;x;x;GB/TB/PB;x;x;x;x;x
Naas et al.;2017;y;*;x;x;x;x;GB/TB/PB;x;x;x;x;x
Ouyang et al.;2017;x;y;x;x;F;x;x;x;x;x;x;y
De Maio and Brandic;2018;y;x;*;x;#/MIPS/MIPS/#;GB;GB;x;y;y;y;y
Gargees et al.;2016;y;y;x;x;F,#,##;GB;GB;x;y;y;x;x
Hong et al.;2017;x;y;x;x;Milli;MB;MB;x;y;y;x;x
Venticinque and Amato;2019;y;y;x;x;~;~;~;y;x;x;x;x
Faticanti et al.;2019;y;y;x;x;MIPS;GB;GB;x;x;x;x;x
Guerrero et al.;2019;y;y;x;y;Slots;Slots;Slots;y;y;y;x;x
Faticanti et al.;2020;y;*;x;x;MIPS;GB;GB;x;x;x;x;y
Faticanti et al. ;2020a;y;*;x;x;MIPS;GB;GB;x;x;x;x;x
Armani et al.;2021;y;x;*;x;MIPS;GB;GB;x;x;x;x;y
Alencar et al.;2022;y;y;x;x;#;GB;GB;y;x;x;x;y
Fu et al.;2021;y;x;*;x;#;GB;x;y;y;y;x;y
Lv et al.;2022;x;x;y;x;#;GB;GB;x;x;x;x;x
Kaur et al.;2022;y;y;y;y;Slots;x;x;x;x;x;x;x
Mehran et al.;2022;y;y;x;x;MIPS;GB;GB;x;y;y;y;y
